-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.91%     787.655ms         2.33%     960.840ms      40.627us       15.234s        37.85%       15.234s     644.144us         23650  
autograd::engine::evaluate_function: CompiledFunctio...         0.12%      49.128ms         6.63%        2.729s     656.018us       0.000us         0.00%       14.317s       3.442ms          4160  
                               CompiledFunctionBackward         1.48%     609.810ms         6.48%        2.667s     641.066us       0.000us         0.00%       14.213s       3.417ms          4160  
                        DistributedDataParallel.forward         0.00%       0.000us         0.00%       0.000us       0.000us        9.051s        22.49%        9.051s     113.134ms            80  
                        DistributedDataParallel.forward         0.35%     142.377ms         8.20%        3.378s      42.228ms       0.000us         0.00%        8.886s     111.078ms            80  
## Call CompiledFxGraph fyr2nq6mlyxonqwdp437bbwvi5r4...         0.00%       0.000us         0.00%       0.000us       0.000us        7.055s        17.53%        7.055s       7.349ms           960  
## Call CompiledFxGraph fyr2nq6mlyxonqwdp437bbwvi5r4...         0.88%     361.871ms         1.64%     677.156ms     705.371us       0.000us         0.00%        7.028s       7.321ms           960  
                                       CompiledFunction         1.02%     419.702ms         4.69%        1.930s     464.021us       0.000us         0.00%        6.523s       1.568ms          4160  
                             Torch-Compiled Region: 0/0         0.51%     210.112ms         6.58%        2.709s       2.822ms      98.020ms         0.24%        5.690s       5.927ms           960  
Cijk_Ailk_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT96x96...         0.00%       0.000us         0.00%       0.000us       0.000us        5.487s        13.63%        5.487s     723.888us          7580  
                             Torch-Compiled Region: 1/0         0.20%      82.917ms         4.30%        1.769s       1.843ms       0.000us         0.00%        4.917s       5.121ms           960  
                             Torch-Compiled Region: 7/0         0.46%     189.880ms         2.73%        1.123s       1.170ms       0.000us         0.00%        4.468s       4.654ms           960  
                                        aten::logsumexp         0.01%       3.602ms         0.08%      30.932ms     193.324us       0.000us         0.00%        4.456s      27.853ms           160  
Cijk_Alik_Bljk_HHS_BH_Bias_HA_S_SAV_UserArgs_MT128x8...         0.00%       0.000us         0.00%       0.000us       0.000us        3.448s         8.57%        3.448s       1.539ms          2240  
## Call CompiledFxGraph f2o6hymasih562kfjkjl3c4ncknq...         0.00%       0.000us         0.00%       0.000us       0.000us        3.371s         8.38%        3.371s       3.512ms           960  
## Call CompiledFxGraph f2o6hymasih562kfjkjl3c4ncknq...         0.64%     264.682ms         1.18%     486.103ms     506.358us       0.000us         0.00%        3.351s       3.491ms           960  
## Call CompiledFxGraph fewfypjtmguqdjrg2ax2ptdsu4rk...         0.00%       0.000us         0.00%       0.000us       0.000us        3.171s         7.88%        3.171s       2.832ms          1120  
